director,count(director)
宫崎骏 Hayao Miyazaki,8
史蒂文·斯皮尔伯格 Steven Spielberg,6
克里斯托弗·诺兰 Christopher Nolan,6
王家卫 Kar Wai Wong,5
李安 Ang Lee,5
是枝裕和 Hirokazu Koreeda,4
大卫·芬奇 David Fincher,4
今敏 Satoshi Kon,4
詹姆斯·卡梅隆 James Cameron,3
理查德·林克莱特 Richard Linklater,3
朱塞佩·托纳多雷 Giuseppe Tornatore,3
昆汀·塔伦蒂诺 Quentin Tarantino,3
彼得·杰克逊 Peter Jackson,3
弗朗西斯·福特·科波拉 Francis Ford Coppola,3
姜文 Wen Jiang,3
大卫·叶茨 David Yates,3
刘镇伟 Jeffrey Lau,3
黑泽明 Akira Kurosawa,2
雷德利·斯科特 Ridley Scott,2
达米恩·查泽雷 Damien Chazelle,2
谢晋 Jin Xie,2
蒂姆·波顿 Tim Burton,2
罗伯·莱纳 Rob Reiner,2
理查德·柯蒂斯 Richard Curtis,2
爱德华·兹威克 Edward Zwick,2
森淳一 Junichi Mori,2
梅尔·吉布森 Mel Gibson,2
杨德昌 Edward Yang,2
拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,2
彼得·威尔 Peter Weir,2
张艺谋 Yimou Zhang,2
弗兰克·德拉邦特 Frank Darabont,2
安德鲁·尼科尔 Andrew Niccol,2
奉俊昊 Joon-ho Bong,2
吴宇森 John Woo,2
刘伟强 / 麦兆辉,2
保罗·格林格拉斯 Paul Greengrass,2
中岛哲也 Tetsuya Nakashima,2
Chris Columbus,2
黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1
黄信尧 Hsin-yao Huang,1
黄东赫 Dong-hyuk Hwang,1
鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,1
高畑勋 Isao Takahata,1
马基德·马基迪 Majid Majidi,1
马克·赫尔曼 Mark Herman,1
马丁·麦克唐纳 Martin McDonagh,1
马丁·布莱斯 Martin Brest,1
韦斯·安德森 Wes Anderson,1
陈可辛 Peter Chan,1
陈凯歌 Kaige Chen,1
陆川 Chuan Lu,1
阿尔弗雷德·希区柯克 Alfred Hitchcock,1
阿兰·葛斯彭纳 Alain Gsponer,1
金秉祐 Byeong-woo Kim,1
郭柯 Ke Guo,1
邓肯·琼斯 Duncan Jones,1
道格·里曼 Doug Liman,1
迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,1
近藤喜文 Yoshifumi Kondo,1
迈克·内威尔 Mike Newell,1
达米安·斯兹弗隆 Damián Szifron,1
达伦·阿罗诺夫斯基 Darren Aronofsky,1
路易·西霍尤斯 Louie Psihoyos,1
赛尔乔·莱翁内 Sergio Leone,1
费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,1
贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1
谢添 Tian Xie,1
让-马克·瓦雷 Jean-Marc Vallée,1
让-皮埃尔·热内 Jean-Pierre Jeunet,1
詹姆斯·温 James Wan,1
詹姆斯·沃德·布柯特 James Ward Byrkit,1
詹姆斯·曼高德 James Mangold,1
藤森雅也 Masaya Fujimori,1
莱塞·霍尔斯道姆 Lasse Hallström,1
莫滕·泰杜姆 Morten Tyldum,1
茂文·勒鲁瓦 Mervyn LeRoy,1
肯尼斯·罗纳根 Kenneth Lonergan,1
罗曼·波兰斯基 Roman Polanski,1
罗启锐 Alex Law,1
罗伯特·泽米吉斯 Robert Zemeckis,1
罗伯特·怀斯 Robert Wise,1
罗伯托·贝尼尼 Roberto Benigni,1
维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1
约翰·李·汉考克 John Lee Hancock,1
约翰·卡尼 John Carney,1
米洛斯·福尔曼 Miloš Forman,1
米林宏昌 Hiromasa Yonebayashi,1
程小东 Siu-Tung Ching,1
